station,station_key,lat,lon,row_id,NLC,Station,En/Ex 2007,En/Ex 2008,En/Ex 2009,En/Ex 2010,En/Ex 2011,En/Ex 2012,En/Ex 2013,En/Ex 2014,En/Ex 2015,En/Ex 2016,En/Ex 2017,En/Ex 2018,En/Ex 2019,En/Ex 2020,En/Ex 2021,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Night Tube?,station_csv,borough,stop_name,stop_type,stop_distance,passengers_2017,passengers_2018,passengers_2019,passengers_2020,passengers_2021,num_lines,avg_passengers,covid_impact_pct,recovery_rate_pct,trend_slope,trend_category,cluster_id,cluster_name
Kennington,kennington,51.48811953061154,-0.10548515252628322,108,616.0,Kennington,4154822.0000000005,4181237.9999999995,4125256.0000000005,4316946.0,4515496.0,4587700.0,4679885.0,4958303.0,5529121.0,5592864.0,5286728.0,5032526.0,5508345.0,2398479.0,2486398.0,Northern,London Underground,Yes,,,,Yes,Kennington,London,Kennington Underground Station,MET,0.0005246593924893716,5286728.0,5032526.0,5508345.0,2398479.0,2486398.0,1,4142495.2,-56.457356973827885,3.6656147500144884,-823470.7,Giảm mạnh,5,Ga trung bình
Kentish Town,kentish town,51.55030376223787,-0.14046419295327214,111,619.0,Kentish Town,6433038.0,7098142.0,7278897.0,7443081.0,7214610.0,7584083.0,6449580.0,7719158.0,10493555.0,8358081.0,7938048.0,7598874.0,8121594.0,3257153.0,3708705.0,Northern,London Underground,Yes,,,,Yes,Kentish Town,London,Kentish Town Underground Station,MET,0.00026889512125001747,7938048.0,7598874.0,8121594.0,3257153.0,3708705.0,1,6124874.8,-59.89515112427437,13.86339542539144,-1280040.7,Giảm mạnh,5,Ga trung bình
Kilburn,kilburn,51.54687950245684,-0.20463334125465596,114,622.0,Kilburn,8501716.0,8557713.0,7852189.0,7198815.0,7521454.0,7686365.0,7790047.0,7865471.0,8269437.999999999,8582187.0,8161692.0,8055599.0,8116651.0,3945831.0,3297471.0,Jubilee,London Underground,Yes,,,,Yes,Kilburn,London,Kilburn Underground Station,MET,0.0005342368567679497,8161692.0,8055599.0,8116651.0,3945831.0,3297471.0,1,6315448.8,-51.38597187436049,-16.431519748311572,-1383821.0,Giảm mạnh,5,Ga trung bình
Kilburn Park,kilburn park,51.535069084357,-0.1939659473685272,115,623.0,Kilburn Park,3362624.0,3622475.0,4068411.0,3785729.0,3455765.0,3450656.0,3480874.0,3381792.0,3417148.0,3428178.0,3185489.0,3271343.0,3285734.0,1482189.0,1375207.0,Bakerloo,London Underground,Yes,,,,No,Kilburn Park,Kilburn,Kilburn Park Underground Station,MET,0.00028061577707985663,3185489.0,3271343.0,3285734.0,1482189.0,1375207.0,1,2519992.4,-54.89017065897605,-7.217837941045305,-540971.8,Giảm mạnh,5,Ga trung bình
Kingsbury,kingsbury,51.584756866190325,-0.2787990574340665,116,624.0,Kingsbury,3328493.0,3324353.0,3333201.0,3106205.0,3442077.0,3734715.0,4117979.0,4586917.0,4968747.0,5122530.0,4958925.0,4637313.0,4551665.0,3236734.0,2067899.0,Jubilee,London Underground,Yes,,,,Yes,Kingsbury,London,Kingsbury Underground Station,MET,8.811944859789439e-05,4958925.0,4637313.0,4551665.0,3236734.0,2067899.0,1,3890507.2,-28.889010944346737,-36.111555660737025,-718263.1,Giảm mạnh,2,Ga rất ít khách
Knightsbridge,knightsbridge,51.501551433201136,-0.16050709132883215,118,626.0,Knightsbridge,21574755.0,19641276.0,20162113.0,20197731.0,20699238.0,21566053.0,21469435.0,21471485.0,20296928.0,19086044.0,16241434.0,16509261.0,16528117.0,4464303.0,7453212.0,Piccadilly,London Underground,Yes,,,,Yes,Knightsbridge,London,Knightsbridge Underground Station,MET,0.00011718747653789499,16241434.0,16509261.0,16528117.0,4464303.0,7453212.0,1,12239265.4,-72.98964546294052,66.95130236455724,-2962140.1999999997,Giảm mạnh,5,Ga trung bình
Ladbroke Grove,ladbroke grove,51.517188449881736,-0.21086191784858715,119,627.0,Ladbroke Grove,4841505.0,5438843.0,5121354.0,5229544.0,5089394.0,5299764.0,5665472.0,6077566.0,5813508.0,5801892.0,5652798.0,5597827.0,6130079.0,2835701.0,2648507.0,"Circle, Hammersmith & City",London Underground,Yes,,,,No,Ladbroke Grove,London,Ladbroke Grove Underground Station,MET,0.0005384327667371343,5652798.0,5597827.0,6130079.0,2835701.0,2648507.0,2,4572982.4,-53.74119974636542,-6.601330676259591,-877070.8000000002,Giảm mạnh,1,Ga nhỏ
Lambeth North,lambeth north,51.49905814869857,-0.11176027027770197,120,628.0,Lambeth North,2939717.0,3199398.0,3310333.0,3554510.0,3497701.0,3309893.0,3023974.0,3571716.0,3285854.0,0.0,3337188.0,3973246.0,3868659.0,1195291.0,1286347.0,Bakerloo,London Underground,Yes,,,,No,Lambeth North,Lambeth,Lambeth North Underground Station,MET,0.0006083899126576142,3337188.0,3973246.0,3868659.0,1195291.0,1286347.0,1,2732146.2,-69.10322155558295,7.61789388525472,-687963.7,Giảm mạnh,5,Ga trung bình
Lancaster Gate,lancaster gate,51.51182153458861,-0.1754286592578167,121,629.0,Lancaster Gate,5720495.0,5972880.0,6481688.0,6524718.0,6677557.0,6698842.0,6794600.0,6551701.0,6293475.0,7060983.0,5903385.0,6140949.0,6628043.0,1503898.0,2668131.0,Central,London Underground,Yes,,,,Yes,Lancaster Gate,London,Lancaster Gate Underground Station,MET,0.0001187990020017931,5903385.0,6140949.0,6628043.0,1503898.0,2668131.0,1,4568881.2,-77.31007478376347,77.41435921851082,-1110755.9,Giảm mạnh,5,Ga trung bình
Latimer Road,latimer road,51.513543593897175,-0.21777930179214605,122,630.0,Latimer Road,1994914.0,2147222.0,1978312.0,2000092.0,1702701.0,1910797.0,2192582.0,2389740.0,2572535.0,2627529.0,2344798.0,2439071.0,2320784.0,1121245.0,1075229.0,"Circle, Hammersmith & City",London Underground,Yes,,,,No,Latimer Road,London,Latimer Road Underground Station,MET,0.00015574664732867437,2344798.0,2439071.0,2320784.0,1121245.0,1075229.0,2,1860225.4,-51.686800667360686,-4.104009382427569,-385696.4,Giảm mạnh,1,Ga nhỏ
Leicester Square,leicester square,51.5112210283672,-0.12823553217276046,123,631.0,Leicester Square,38687223.0,33868259.0,35555594.0,36938061.0,38779688.0,38512080.0,38596700.0,43314547.0,43745951.0,37843681.0,34580105.0,33424173.0,34563636.0,3950320.0,16345381.0,"Piccadilly, Northern",London Underground,Yes,,,,Yes,Leicester Square,London,Leicester Square Underground Station,MET,0.00025137683883033287,34580105.0,33424173.0,34563636.0,3950320.0,16345381.0,2,24572723.0,-88.57087836476464,313.77359302537513,-6594330.1000000015,Giảm mạnh,3,Ga lớn
Leyton,leyton,51.55643292705491,-0.00561987978130908,124,632.0,Leyton,12322930.0,12646743.0,12345039.0,12563244.0,13289406.0,12856223.0,13531459.0,14067249.0,14406501.0,14331098.0,12751863.0,11393769.0,11262368.0,7325632.0,5293420.0,Central,London Underground,Yes,,,,Yes,Leyton,London,Leyton Underground Station,MET,0.00018388247209135344,12751863.0,11393769.0,11262368.0,7325632.0,5293420.0,1,9605410.4,-34.95478038011189,-27.741115032805357,-1898502.3,Giảm mạnh,5,Ga trung bình
Leytonstone,leytonstone,51.56818526367459,0.008215047486340644,125,633.0,Leytonstone,9444787.0,9855499.0,9699503.0,9794737.0,10452827.0,10102833.0,10379073.0,11054539.0,11244737.0,11300919.0,10431470.0,9744447.0,9822700.0,5650715.0,4259419.0,Central,London Underground,Yes,,,,Yes,Leytonstone,London,Leytonstone Underground Station,MET,0.00014074034882458734,10431470.0,9744447.0,9822700.0,5650715.0,4259419.0,1,7981750.2,-42.4728944180317,-24.62159213480064,-1643783.4,Giảm mạnh,0,Ga ít khách
